id,kindCode,kindName,code,name,sort
1,1,CLEAR LAMP,1,No Play,8
2,1,CLEAR LAMP,2,Failed,7
3,1,CLEAR LAMP,3,Assist Easy,6
4,1,CLEAR LAMP,4,Easy,5
5,1,CLEAR LAMP,5,Clear,4
6,1,CLEAR LAMP,6,Hard,3
7,1,CLEAR LAMP,7,EX Hard,2
8,1,CLEAR LAMP,8,Full Combo,1
9,2,DL LEVEL,1,No Play,9
10,2,DL LEVEL,2,F,8
11,2,DL LEVEL,3,E,7
12,2,DL LEVEL,4,D,6
13,2,DL LEVEL,5,C,5
14,2,DL LEVEL,6,B,4
15,2,DL LEVEL,7,A,3
16,2,DL LEVEL,8,AA,2
17,2,DL LEVEL,9,AAA,1
18,3,INDEX,1,ABCD,1
19,3,INDEX,2,EFGH,2
20,3,INDEX,3,IJKL,3
21,3,INDEX,4,MNOP,4
22,3,INDEX,5,QRST,5
23,3,INDEX,6,UVWXYZ,6
24,3,INDEX,7,OTHERS,7
25,4,LEVEL,1,LEVEL 1,12
26,4,LEVEL,2,LEVEL 2,11
27,4,LEVEL,3,LEVEL 3,10
28,4,LEVEL,4,LEVEL 4,9
29,4,LEVEL,5,LEVEL 5,8
30,4,LEVEL,6,LEVEL 6,7
31,4,LEVEL,7,LEVEL 7,6
32,4,LEVEL,8,LEVEL 8,5
33,4,LEVEL,9,LEVEL 9,4
34,4,LEVEL,10,LEVEL 10,3
35,4,LEVEL,11,LEVEL 11,2
36,4,LEVEL,12,LEVEL 12,1
37,5,DIFFICULTY,1,BEGINNER,1
38,5,DIFFICULTY,2,NORMAL,2
39,5,DIFFICULTY,3,HYPER,3
40,5,DIFFICULTY,4,ANOTHER,4
41,5,DIFFICULTY,5,LEGGENDARIA,5
42,6,VERSION,1,1st style&substream,28
43,6,VERSION,2,2nd style,27
44,6,VERSION,3,3rd style,26
45,6,VERSION,4,4th style,25
46,6,VERSION,5,5th style,24
47,6,VERSION,6,6th style,23
48,6,VERSION,7,7th style,22
49,6,VERSION,8,8th style,21
50,6,VERSION,9,9th style,20
51,6,VERSION,10,10th style,19
52,6,VERSION,11,IIDX RED,18
53,6,VERSION,12,HAPPY SKY,17
54,6,VERSION,13,DistorteD,16
55,6,VERSION,14,GOLD,15
56,6,VERSION,15,DJ TROOPERS,14
57,6,VERSION,16,EMPRESS,13
58,6,VERSION,17,SIRIUS,12
59,6,VERSION,18,Resort Anthem,11
60,6,VERSION,19,Lincle,10
61,6,VERSION,20,tricoro,9
62,6,VERSION,21,SPADA,8
63,6,VERSION,22,PENDUAL,7
64,6,VERSION,23,copula,6
65,6,VERSION,24,SINOBUZ,5
66,6,VERSION,25,CANNON BALLERS,4
67,6,VERSION,26,Rootage,3
68,6,VERSION,27,HEROIC VERSE,2
69,6,VERSION,28,BISTROVER,1
70,7,SORT,1,Clear Lamp,1
71,7,SORT,2,DJ Level,2
72,7,SORT,3,Miss Count,3
73,7,SORT,4,Score Rate,4
74,7,SORT,5,Level,5
75,7,SORT,6,Index,6
76,7,SORT,7,Version,7
77,8,FILTER,1,NEW RECORD,1
78,8,FILTER,2,LEVEL,2
79,8,FILTER,3,DIFFICULTY,3
80,8,FILTER,4,VERSION,4
81,8,FILTER,5,CLEAR LAMP,5
82,8,FILTER,6,DJ LEVEL,6
83,8,FILTER,7,INDEX,7
84,9,NEW RECORD,1,No update,1
85,10,RIVAL FILTER,1,RIVAL SCORE WIN,1
86,10,RIVAL FILTER,2,RIVAL SCORE LOSE,2
87,10,RIVAL FILTER,3,RIVAL LAMP WIN,3
88,10,RIVAL FILTER,4,RIVAL LAMP LOSE,4
89,11,RIVAL SCORE WIN,1,No rival,1
90,12,RIVAL SCORE LOSE,1,No rival,1
91,13,RIVAL LUMP WIN,1,No rival,1
92,14,RIVAL LUMP LOSE,1,No rival,1
93,15,MODE,1,ImportMode,1
94,15,MODE,2,EditMode,2
95,16,TAG FILTER,1,TAG,1